,Country,Time_Period,CO2_Emission_Tonnes,Nuclear_Perc,Renewable_Perc,Fossil_Perc,GDP in B,Population,GDP_per_capita,Uniq_ID,Status,CO2_Emission_Tonnes_rate,Nuclear_Perc_rate,Renewable_Perc_rate,Fossil_Perc_rate,GDP in B_rate,Population_rate,GDP_per_capita_rate,GDP_per_capita_2024,Dev_Category,CO2_per_capita
3125,Rwanda,2014,191.3692626,0.0,24.1121718377088,49.6420047732697,8.097863702030963,11480149.0,705.3796690296409,Rwanda_2014,Actual,4.805560652549068,,-13.185801425723042,-16.583297915236315,6.766774144448284,2.18999758058529,4.478693289187929,927.972838507133,Underdeveloped,0.0166695800376807
3126,Rwanda,2015,152.9114256,0.0,12.5839694656489,42.9389312977099,8.611098415388597,11731564.0,734.0111186699912,Rwanda_2015,Actual,-20.096141082167705,,-47.81071754818473,-13.502825895478631,6.337902590641442,2.1899977082179056,4.0590125995178195,927.972838507133,Underdeveloped,0.013034189269222755
3127,Rwanda,2016,233.2376868,0.0,7.70358814352574,51.5195007800312,9.124333128746457,11988485.0,761.0914247084979,Rwanda_2016,Actual,52.53123557302053,,-38.78252673328066,19.983192927717177,5.960153845654315,2.1899978553584054,3.689359105019485,927.972838507133,Underdeveloped,0.019455142730712013
3128,Rwanda,2017,191.221368,0.0,8.29953917050691,54.2242703533026,9.63756784210409,12251033.0,786.6738945282483,Rwanda_2017,Actual,-18.01437811207104,,7.736018799006272,5.249991813429533,5.6249010871892935,2.190001488928761,3.3612873551359,927.972838507133,Underdeveloped,0.015608591373478467
3129,Rwanda,2018,237.7762536,0.0,7.55569948186529,57.2538860103627,10.15080255546195,12519331.0,810.8103025203144,Rwanda_2018,Actual,24.346068688306822,,-8.962421567752997,5.587194880300639,5.325355128662945,2.190003079740288,3.068159266495063,927.972838507133,Underdeveloped,0.018992728413363302
3130,Rwanda,2019,277.6525006,0.0,4.29062870699881,49.8220640569395,10.664037268819584,12793504.0,833.5509387279344,Rwanda_2019,Actual,16.770491752755934,,-43.213348846167,-12.980467303264042,5.056099855685514,2.189997213109862,2.804680223836975,927.972838507133,Underdeveloped,0.02170261568683607
3131,Rwanda,2020,206.481985,0.0,3.84810126582278,36.9390103567319,11.177271982177444,13073682.0,854.9444588125552,Rwanda_2020,Actual,-25.632946019287527,,-10.313813461747124,-25.858129212559543,4.812761812625133,2.1900020510408957,2.5665522154253884,927.972838507133,Underdeveloped,0.015793713278325114
3132,Rwanda,2021,236.4498658,0.0,5.26024590163934,42.0081967213115,11.690506695535078,13359995.0,875.0382537968823,Rwanda_2021,Actual,14.513557102814566,,36.69717968075934,13.723124457382152,4.591770820071339,2.1899951367946757,2.3503041369769884,927.972838507133,Underdeveloped,0.017698349872136927
3133,Rwanda,2022,353.0375188,0.0,2.9149874792331048,47.7747502270663,12.203741408892938,13652579.0,893.8781023638785,Rwanda_2022,Actual,49.307557272464294,,-44.58457772240919,13.727210296626048,4.390183648360413,2.190000819611093,2.1530314229404546,927.972838507133,Underdeveloped,0.025858668812683668
3134,Rwanda,2023,301.53977850528463,0.0,1.9363690038553614,38.7279398038163,12.716976122250799,13951571.0,911.5085406690615,Rwanda_2023,Actual,-14.587044592246146,,-33.57196153841474,-18.93638455512976,4.205552184052852,2.1900038080717277,1.9723537536671998,927.972838507133,Underdeveloped,0.02161332071530042
